,caracteres,fim,inicio,verbo
780,7,ra,qu,quisera
781,8,se,qu,quisesse
782,6,ra,qu,queira
783,8,os,qu,quisemos
784,10,os,qu,quiséramos
785,11,os,qu,quiséssemos
786,9,os,qu,queiramos
787,9,es,qu,quisestes
788,9,is,qu,quiséreis
789,10,is,qu,quisésseis
790,8,is,qu,queirais
791,8,am,qu,quiseram
792,8,am,qu,quiseram
793,9,em,qu,quisessem
794,7,am,qu,queiram
795,8,ei,qu,quererei
796,8,ia,qu,quereria
797,6,er,qu,quiser
798,8,do,qu,querendo
799,8,ás,qu,quererás
800,9,as,qu,quererias
801,8,es,qu,quiseres
802,7,rá,qu,quererá
803,8,ia,qu,quereria
804,6,er,qu,quiser
805,10,os,qu,quereremos
806,11,os,qu,quereríamos
807,9,os,qu,quisermos
808,9,is,qu,querereis
809,10,is,qu,quereríeis
810,9,es,qu,quiserdes
811,7,do,qu,querido
812,8,ão,qu,quererão
813,9,am,qu,quereriam
814,8,em,qu,quiserem
815,8,ro,re,requeiro
816,8,ia,re,requeria
817,8,ra,re,requeira
818,8,es,re,requeres
819,9,as,re,requerias
820,8,ra,re,requeira
821,14,re,re,requer/requere
822,6,er,re,requer
823,8,ia,re,requeria
824,8,ra,re,requeira
825,8,ra,re,requeira
826,10,os,re,requeremos
827,11,os,re,requeríamos
828,11,os,re,requeiramos
829,11,os,re,requeiramos
830,9,is,re,requereis
831,10,is,re,requeríeis
832,10,is,re,requeirais
833,8,ei,re,requerei
834,8,em,re,requerem
835,9,am,re,requeriam
836,9,am,re,requeiram
837,9,am,re,requeiram
838,7,ri,re,requeri
839,9,ra,re,requerera
840,10,se,re,requeresse
841,10,te,re,requereste
842,10,as,re,requereras
843,11,es,re,requeresses
844,8,ra,re,requeira
845,8,eu,re,requereu
846,9,ra,re,requerera
847,10,se,re,requeresse
848,8,ra,re,requeira
849,10,os,re,requeremos
850,12,os,re,requerêramos
851,13,os,re,requerêssemos
852,11,os,re,requeiramos
